artist,weekend,pop,month,score,genre,minprice
Janelle Monae,0,297517,7,76,R&B,36.5
Ed Sheeran,1,634464,10,94,Pop,36.5
Rae Sremmurd,1,885400,8,87,Hip-Hop/Rap,36.5
Dan + Shay,1,1257676,8,76,Country,36.5
Leon Bridges,0,1513367,9,76,R&B,36.5
Niall Horan,1,56540,8,78,Rock,36
Maren Morris,1,56540,8,82,Rock,36
Anne-Marie,1,688701,9,88,Pop,36
Ed Sheeran,1,688701,9,94,Pop,36
J Balvin,0,645966,10,95,Hip-Hop/Rap,35.95
Leon Bridges,1,226877,9,76,R&B,35.78
Kane Brown,0,50821,9,77,Country,35.5
Kenny Chesney,0,50997,7,76,Country,35.5
Dan + Shay,1,60872,6,76,Country,35.5
Ed Sheeran,1,148483,10,94,Pop,35.5
Sam Smith,1,345012,8,86,Rock,35.5
Jason Aldean,1,447841,7,79,Country,35.5
Luke Combs,1,447841,7,79,Country,35.5
Anne-Marie,1,652405,8,88,Pop,35.5
Ed Sheeran,1,652405,8,94,Pop,35.5
Ed Sheeran,0,1553165,9,94,Pop,35.5
Anne-Marie,0,1553165,9,88,Pop,35.5
Ed Sheeran,0,2718782,10,94,Pop,35.5
Darius Rucker,1,57282,9,71,Country,35.25
Darius Rucker,0,77846,8,71,Country,35.25
Darius Rucker,1,102436,9,71,Country,35.25
Darius Rucker,0,352957,9,71,Country,35.25
Sam Smith,0,44349,7,86,Rock,35
Jordan Davis,0,47749,6,69,Country,35
NF,0,49267,7,81,Hip-Hop/Rap,35
Rae Sremmurd,1,49267,7,87,Hip-Hop/Rap,35
Logic,0,49267,7,88,Hip-Hop/Rap,35
Sam Smith,0,49891,8,86,Rock,35
Imagine Dragons,0,57282,7,89,Rock,35
Portugal. The Man,1,61969,8,78,Rock,35
Darius Rucker,1,74860,8,71,Country,35
Foster The People,1,77846,7,77,Rock,35
Foster The People,0,78373,6,77,Rock,35
Imagine Dragons,0,102436,8,89,Rock,35
Kane Brown,0,136699,8,77,Country,35
Grey,0,148483,6,82,Pop,35
Sam Smith,1,202824,6,86,Rock,35
Lynyrd Skynyrd,0,212113,8,74,Rock,35
Foster The People,1,228653,7,77,Rock,35
Kane Brown,1,345012,7,77,Country,35
Halsey,0,347884,8,85,Rock,35
Imagine Dragons,0,352957,8,89,Rock,35
Leon Bridges,1,431746,8,76,R&B,35
Imagine Dragons,0,431746,7,89,Rock,35
Sam Smith,0,609456,9,86,Rock,35
Kenny Chesney,1,634464,8,76,Country,35
Maren Morris,1,634464,7,82,Rock,35
Niall Horan,1,634464,7,78,Rock,35
Dua Lipa,0,649495,6,92,Rock,35
Sam Smith,1,652405,9,86,Rock,35
Sam Smith,0,688701,6,86,Rock,35
Sam Smith,0,1257676,7,86,Rock,35
Rae Sremmurd,0,1513367,8,87,Hip-Hop/Rap,35
Sam Smith,0,2718782,8,86,Rock,35
Chris Stapleton,1,57282,10,80,Country,34.75
Dan + Shay,0,57282,8,76,Country,34.75
Chris Stapleton,1,60872,6,80,Country,34.75
Dan + Shay,0,62298,6,76,Country,34.75
Chris Stapleton,0,76903,6,80,Country,34.75
Brett Young,0,111542,10,71,Country,34.75
Thomas Rhett,0,111542,10,80,Country,34.75
Darius Rucker,1,256780,8,71,Country,34.75
Chris Stapleton,0,256780,8,80,Country,34.75
Dan + Shay,0,352957,7,76,Country,34.75
Chris Stapleton,1,447841,10,80,Country,34.75
Chris Stapleton,0,556495,8,80,Country,34.75
Jordan Davis,0,49891,9,69,Country,34.5
Ed Sheeran,1,447841,11,94,Pop,34.5
Janelle Monae,0,634464,7,76,R&B,34.5
Adele,1,653450,6,83,Comedy,34.5
Janelle Monae,1,843393,7,76,R&B,34.5
Darius Rucker,0,44349,10,71,Country,34.25
Dan + Shay,0,256780,9,76,Country,34.25
Darius Rucker,0,431746,10,71,Country,34.25
Godsmack,0,447841,8,71,Rock,34
Shinedown,0,447841,8,76,Rock,34
Rae Sremmurd,0,556495,8,87,Hip-Hop/Rap,34
Luke Bryan,0,609456,10,79,Country,34
Darius Rucker,0,1513367,8,71,Country,34
Kane Brown,1,1553165,9,77,Country,34
Dan + Shay,0,44349,6,76,Country,33.75
Chris Stapleton,0,56540,10,80,Country,33.75
Kenny Chesney,0,256780,6,76,Country,33.75
Kane Brown,0,256780,7,77,Country,33.75
Brett Young,0,345012,10,71,Country,33.75
Thomas Rhett,0,345012,10,80,Country,33.75
Dan + Shay,1,431746,6,76,Country,33.75
Adele,0,634464,6,83,Comedy,33.45
Darius Rucker,0,56540,9,71,Country,33.25
J Balvin,1,674433,9,95,Hip-Hop/Rap,33.2
Post Malone,0,60872,8,100,Hip-Hop/Rap,33
Dan + Shay,0,56540,8,76,Country,32.75
Shinedown,0,44820,8,76,Rock,32.5
Dan + Shay,0,49267,8,76,Country,32.5
Charlie Puth,0,236716,8,87,Rock,32.5
Dua Lipa,0,255483,6,92,Rock,32.5
Dua Lipa,1,400070,6,92,Rock,32.5
Portugal. The Man,1,843393,7,78,Rock,32.5
Thomas Rhett,1,192294,10,80,Country,32.25
Brett Young,1,192294,10,71,Country,32.25
Darius Rucker,0,49267,7,71,Country,32
Parkway Drive,1,146526,9,70,Metal,32
Parkway Drive,0,226877,8,70,Metal,32
Sam Smith,0,378715,7,86,Rock,32
Dua Lipa,1,652405,7,92,Rock,32
Leon Bridges,0,1355896,9,76,R&B,32
Luke Combs,0,634464,9,79,Country,31.55
Niall Horan,0,256780,8,78,Rock,31.5
Maren Morris,0,256780,8,82,Rock,31.5
Sam Smith,1,634464,7,86,Rock,31.35
Chris Stapleton,0,297517,10,80,Country,31.25
Keith Urban,0,76903,8,77,Country,31
Foster The People,0,378715,7,77,Rock,31
Sam Smith,1,417650,7,86,Rock,31
Panic! At The Disco,0,52122,7,84,Rock,30.75
Jason Aldean,1,76903,8,79,Country,30.75
Sam Smith,0,196021,8,86,Rock,30.75
Panic! At The Disco,1,202824,7,84,Rock,30.75
Jason Aldean,1,213708,9,79,Country,30.75
Luke Combs,1,213708,9,79,Country,30.75
Panic! At The Disco,0,305841,7,84,Rock,30.75
Panic! At The Disco,1,688701,7,84,Rock,30.75
Panic! At The Disco,0,843393,7,84,Rock,30.75
Panic! At The Disco,1,1257676,8,84,Rock,30.75
Panic! At The Disco,0,2718782,7,84,Rock,30.75
Janelle Monae,0,599164,7,76,R&B,30.47
Brett Young,0,308428,10,71,Country,30.25
Thomas Rhett,0,308428,10,80,Country,30.25
Savage,1,52122,9,89,Dance/Electronic,30
Bad Wolves,1,60872,8,68,Rock,30
Bad Wolves,1,74860,7,68,Metal,30
Bad Wolves,0,75806,8,68,Rock,30
Bad Wolves,0,76903,8,68,Rock,30
MercyMe,0,89130,11,65,Rock,30
MercyMe,0,186254,8,65,Rock,30
Bad Wolves,0,256780,7,68,Metal,30
Keith Urban,1,297517,8,77,Country,30
Bad Wolves,1,352957,8,68,Metal,30
Dua Lipa,0,417650,6,92,Rock,30
Dua Lipa,1,447841,6,92,Rock,30
Bad Wolves,1,556495,7,68,Metal,30
Charlie Puth,0,634464,8,87,Rock,30
Savage,0,645966,9,89,Dance/Electronic,30
Savage,0,652405,10,89,Dance/Electronic,30
Bad Wolves,0,885400,8,68,Metal,30
Bad Wolves,1,1257676,8,68,Metal,30
Grey,1,3884307,9,82,Rock,30
Chris Brown,0,125880,6,90,R&B,29.99
Rich The Kid,0,125880,6,85,R&B,29.99
Rich The Kid,1,212113,7,85,R&B,29.99
J Balvin,0,279639,10,95,Hip-Hop/Rap,29.95
Brett Young,1,44349,9,71,Country,29.75
Thomas Rhett,1,44349,9,80,Country,29.75
Brett Young,1,45237,10,71,Country,29.75
Thomas Rhett,1,45237,10,80,Country,29.75
Thomas Rhett,0,47149,9,80,Country,29.75
Brett Young,0,47149,9,71,Country,29.75
Thomas Rhett,1,49891,10,80,Country,29.75
Brett Young,1,49891,10,71,Country,29.75
Thomas Rhett,0,50821,9,80,Country,29.75
Brett Young,0,56756,10,71,Country,29.75
Thomas Rhett,0,56756,10,80,Country,29.75
Thomas Rhett,0,66075,10,80,Country,29.75
Brett Young,1,110378,9,71,Country,29.75
Thomas Rhett,1,110378,9,80,Country,29.75
Brett Young,0,144669,9,71,Country,29.75
Thomas Rhett,0,144669,9,80,Country,29.75
Brett Young,0,159190,10,71,Country,29.75
Thomas Rhett,0,159190,10,80,Country,29.75
Thomas Rhett,1,191180,10,80,Country,29.75
Brett Young,1,191180,10,71,Country,29.75
Brett Young,0,256496,10,71,Country,29.75
Thomas Rhett,0,256496,10,80,Country,29.75
Sam Hunt,1,352957,6,76,Country,29.75
Luke Bryan,1,352957,6,79,Country,29.75
Sam Hunt,1,649495,8,76,Country,29.75
Luke Bryan,1,649495,8,79,Country,29.75
Shawn Mendes,1,44096,8,93,Rock,29.5
Niall Horan,0,44349,9,78,Rock,29.5
Maren Morris,0,44349,9,82,Rock,29.5
Lynyrd Skynyrd,1,44349,6,74,Rock,29.5
Lynyrd Skynyrd,0,57282,8,74,Rock,29.5
Maren Morris,0,57282,7,82,Rock,29.5
Niall Horan,0,57282,7,78,Rock,29.5
G-Eazy,1,60872,8,88,Hip-Hop/Rap,29.5
Maren Morris,1,60872,9,82,Rock,29.5
Lynyrd Skynyrd,0,60872,7,74,Rock,29.5
Ty Dolla $ign,1,60872,8,92,Hip-Hop/Rap,29.5
Lil Uzi Vert,1,60872,8,89,Hip-Hop/Rap,29.5
Niall Horan,1,60872,9,78,Rock,29.5
Ty Dolla $ign,0,74860,7,92,Hip-Hop/Rap,29.5
G-Eazy,0,74860,7,88,Hip-Hop/Rap,29.5
Lil Uzi Vert,0,74860,7,89,Hip-Hop/Rap,29.5
Rae Sremmurd,0,76903,8,87,Hip-Hop/Rap,29.5
SZA,0,76903,6,86,Hip-Hop/Rap,29.5
Kendrick Lamar,0,76903,6,92,Hip-Hop/Rap,29.5
Portugal. The Man,1,76903,6,78,Rock,29.5
G-Eazy,1,77846,7,88,Hip-Hop/Rap,29.5
Niall Horan,1,77846,8,78,Rock,29.5
Ty Dolla $ign,1,77846,7,92,Hip-Hop/Rap,29.5
Lil Uzi Vert,1,77846,7,89,Hip-Hop/Rap,29.5
Maren Morris,1,77846,8,82,Rock,29.5
Shawn Mendes,1,78373,8,93,Rock,29.5
Imagine Dragons,1,111542,7,89,Rock,29.5
Imagine Dragons,1,111542,7,89,Rock,29.5
Savage,1,112067,9,89,Dance/Electronic,29.5
Grey,1,112067,6,82,Rock,29.5
Halsey,1,117240,7,85,Rock,29.5
Lynyrd Skynyrd,1,125017,7,74,Rock,29.5
Savage,0,146526,6,89,Hip-Hop/Rap,29.5
Post Malone,0,146526,6,100,Hip-Hop/Rap,29.5
Post Malone,0,146526,6,100,Hip-Hop/Rap,29.5
Savage,0,146526,6,89,Hip-Hop/Rap,29.5
Charlie Puth,0,228653,8,87,Rock,29.5
Foster The People,0,256780,7,77,Rock,29.5
G-Eazy,0,352957,9,88,Hip-Hop/Rap,29.5
Lil Uzi Vert,0,352957,9,89,Hip-Hop/Rap,29.5
Ty Dolla $ign,0,352957,9,92,Hip-Hop/Rap,29.5
Shawn Mendes,1,406253,7,93,Rock,29.5
G-Eazy,0,431746,9,88,Hip-Hop/Rap,29.5
Lynyrd Skynyrd,0,431746,6,74,Rock,29.5
Lil Uzi Vert,0,431746,9,89,Hip-Hop/Rap,29.5
Maren Morris,1,431746,9,82,Rock,29.5
Kane Brown,0,431746,8,77,Country,29.5
Ty Dolla $ign,0,431746,9,92,Hip-Hop/Rap,29.5
Niall Horan,1,431746,9,78,Rock,29.5
Ty Dolla $ign,0,447841,9,92,Hip-Hop/Rap,29.5
G-Eazy,0,447841,9,88,Hip-Hop/Rap,29.5
Lil Uzi Vert,0,447841,9,89,Hip-Hop/Rap,29.5
G-Eazy,1,556495,8,88,Hip-Hop/Rap,29.5
Ty Dolla $ign,1,556495,8,92,Hip-Hop/Rap,29.5
Lil Uzi Vert,1,556495,8,89,Hip-Hop/Rap,29.5
Brett Young,0,634464,10,71,Folk,29.5
Halsey,0,634464,7,85,Rock,29.5
Imagine Dragons,1,646449,7,89,Rock,29.5
Halsey,0,843393,7,85,Rock,29.5
Niall Horan,0,1257676,7,78,Rock,29.5
G-Eazy,0,1257676,8,88,Hip-Hop/Rap,29.5
Maren Morris,0,1257676,7,82,Rock,29.5
Lil Uzi Vert,0,1257676,8,89,Hip-Hop/Rap,29.5
Shawn Mendes,1,1257676,7,93,Rock,29.5
Shawn Mendes,0,1409019,7,93,Rock,29.5
G-Eazy,0,1513367,8,88,Hip-Hop/Rap,29.5
Ty Dolla $ign,0,1513367,8,92,Hip-Hop/Rap,29.5
Lil Uzi Vert,0,1513367,8,89,Hip-Hop/Rap,29.5
Ty Dolla $ign,0,2718782,8,92,Hip-Hop/Rap,29.5
Bazzi,0,2718782,8,83,Pop,29.5
G-Eazy,0,2718782,8,88,Hip-Hop/Rap,29.5
Bad Wolves,0,56540,8,68,Rock,29
Rae Sremmurd,1,57282,7,87,Hip-Hop/Rap,29
Rae Sremmurd,0,102436,8,87,Hip-Hop/Rap,29
Kenny Chesney,0,297517,7,76,Country,29
Rae Sremmurd,0,352957,8,87,Hip-Hop/Rap,29
Kenny Chesney,1,652405,7,76,Country,29
Panic! At The Disco,1,609456,8,84,Rock,28.75
Ty Dolla $ign,0,56540,8,92,Hip-Hop/Rap,28.5
Foster The People,0,56540,6,77,Rock,28.5
G-Eazy,0,56540,8,88,Hip-Hop/Rap,28.5
Lynyrd Skynyrd,1,56540,8,74,Rock,28.5
Lil Uzi Vert,0,56540,8,89,Hip-Hop/Rap,28.5
MercyMe,1,125880,7,65,Religious,28.5
Parkway Drive,0,305841,9,70,Metal,28.5
Parkway Drive,0,318416,9,70,Metal,28.5
Sam Smith,0,645966,6,86,Rock,28.5
Parkway Drive,1,255483,9,70,Metal,28
MercyMe,1,279639,11,65,Rock,28
Shawn Mendes,0,305841,8,93,Rock,28
Anne-Marie,1,1355896,6,88,Classical,28
Panic! At The Disco,0,191180,8,84,Rock,27.75
Panic! At The Disco,1,398121,8,84,Rock,27.75
Panic! At The Disco,1,622104,7,84,Rock,27.75
Panic! At The Disco,0,998537,8,84,Rock,27.75
Portugal. The Man,0,44349,9,78,Rock,27.5
Chris Brown,0,74860,6,90,R&B,27.5
Rich The Kid,0,74860,6,85,R&B,27.5
Halsey,0,77846,7,85,Rock,27.5
Grey,1,843393,8,82,Rock,27.5
Parkway Drive,0,1257676,9,70,Metal,27.5
Parkway Drive,0,2195914,9,70,Metal,27.5
Famous Dex,0,3884307,6,80,Hip-Hop/Rap,27.5
MercyMe,0,44096,11,65,Rock,27
Grey,0,87236,6,82,Rock,27
Kenny Chesney,1,148483,7,76,Country,27
Panic! At The Disco,0,352957,8,84,Rock,27
Kenny Chesney,1,649495,6,76,Country,27
Panic! At The Disco,1,431746,7,84,Rock,26.75
MercyMe,1,609456,11,65,Rock,26.75
Panic! At The Disco,0,652405,8,84,Rock,26.75
Portugal. The Man,1,50821,9,78,Rock,26.5
Panic! At The Disco,0,90116,7,84,Rock,26.5
Shawn Mendes,0,255483,7,93,Rock,26.5
Shawn Mendes,1,318416,6,93,Rock,26.5
Imagine Dragons,1,378715,8,89,Rock,26.5
Shawn Mendes,1,398121,7,93,Rock,26.5
Imagine Dragons,1,144669,6,89,Rock,26.25
Panic! At The Disco,0,645966,7,84,Rock,26.25
Panic! At The Disco,0,196021,8,84,Rock,26
Imagine Dragons,0,448479,7,89,Rock,26
Shawn Mendes,0,49891,7,93,Rock,25.91
MercyMe,0,117240,10,65,Rock,25.75
Shawn Mendes,1,352957,7,93,Rock,25.75
Shawn Mendes,0,54790,8,93,Rock,25.5
Shawn Mendes,1,417650,7,93,Rock,25.5
Shawn Mendes,0,447841,7,93,Rock,25.5
Dan + Shay,0,448479,6,76,Country,25.5
Savage,0,38027,6,89,Hip-Hop/Rap,25
Dua Lipa,0,41108,6,92,Pop,25
Savage,1,42774,9,89,Dance/Electronic,25
Charlie Puth,0,44349,7,87,Rock,25
Chris Brown,1,44349,7,90,R&B,25
Logic,0,44349,6,88,Hip-Hop/Rap,25
NF,0,44349,6,81,Hip-Hop/Rap,25
Rich The Kid,1,44349,7,85,R&B,25
Ozuna,1,45237,7,95,Rock,25
Grey,1,47749,8,82,Rock,25
Bazzi,0,52122,7,83,Pop,25
Bazzi,1,52122,7,83,Pop,25
Chris Brown,1,57282,7,90,R&B,25
Chris Brown,0,60872,7,90,R&B,25
Rich The Kid,0,60872,7,85,R&B,25
Logic,0,60872,6,88,Hip-Hop/Rap,25
Godsmack,1,60872,8,71,Rock,25
Shinedown,1,60872,8,76,Rock,25
NF,0,60872,6,81,Hip-Hop/Rap,25
Charlie Puth,0,62298,8,87,Rock,25
Famous Dex,1,66174,6,80,Hip-Hop/Rap,25
NF,0,74860,7,81,Hip-Hop/Rap,25
Logic,0,74860,7,88,Hip-Hop/Rap,25
Charlie Puth,0,76903,7,87,Rock,25
NF,0,77846,7,81,Hip-Hop/Rap,25
Charlie Puth,0,77846,8,87,Rock,25
Logic,0,77846,7,88,Hip-Hop/Rap,25
Charlie Puth,1,102436,9,87,Rock,25
Rich The Kid,1,125017,7,85,R&B,25
Chris Brown,1,125017,7,90,R&B,25
MercyMe,0,172638,10,65,Rock,25
Leon Bridges,1,228653,6,76,R&B,25
G-Eazy,0,256780,8,88,Hip-Hop/Rap,25
Charlie Puth,1,256780,8,87,Rock,25
Lil Uzi Vert,0,256780,8,89,Hip-Hop/Rap,25
Chris Brown,0,256780,8,90,R&B,25
Ty Dolla $ign,0,256780,8,92,Hip-Hop/Rap,25
Rich The Kid,0,256780,8,85,R&B,25
Savage,0,297517,9,89,Dance/Electronic,25
Rae Sremmurd,1,297517,7,87,Hip-Hop/Rap,25
Famous Dex,0,345012,6,80,Hip-Hop/Rap,25
Meghan Trainor,0,352957,6,79,Rock,25
Chris Brown,0,352957,7,90,R&B,25
Logic,0,352957,6,88,Hip-Hop/Rap,25
Rich The Kid,0,352957,7,85,R&B,25
NF,0,352957,6,81,Hip-Hop/Rap,25
MercyMe,0,378715,10,65,Rock,25
Rich The Kid,0,431746,7,85,R&B,25
Rich The Kid,0,447841,7,85,R&B,25
Chris Brown,0,447841,7,90,R&B,25
Logic,0,447841,6,88,Hip-Hop/Rap,25
NF,0,447841,6,81,Hip-Hop/Rap,25
Kenny Chesney,0,448479,6,76,Country,25
Charlie Puth,1,556495,8,87,Rock,25
Kane Brown,1,634464,9,77,Country,25
Famous Dex,0,645966,6,80,Hip-Hop/Rap,25
Shawn Mendes,0,645966,8,93,Rock,25
Bazzi,1,652405,7,83,Pop,25
Famous Dex,1,688701,6,80,Hip-Hop/Rap,25
Bazzi,0,688701,8,83,Pop,25
Bazzi,0,688701,8,83,Pop,25
Chris Brown,0,885400,6,90,R&B,25
Rich The Kid,0,885400,6,85,R&B,25
Chris Brown,1,1257676,7,90,R&B,25
Famous Dex,1,1257676,7,80,Hip-Hop/Rap,25
Bazzi,0,1257676,7,83,Pop,25
Janelle Monae,0,1355896,6,76,R&B,25
Dua Lipa,0,1355896,6,92,Rock,25
NF,0,1513367,7,81,Hip-Hop/Rap,25
Chris Brown,1,1513367,6,90,R&B,25
Logic,0,1513367,7,88,Hip-Hop/Rap,25
Rich The Kid,1,1513367,6,85,R&B,25
Charlie Puth,0,1513367,8,87,Rock,25
Florida Georgia Line,0,2718782,6,85,Country,24.88
Shawn Mendes,0,196021,7,93,Rock,24.75
Sam Hunt,1,400070,7,76,Country,24.75
Luke Bryan,1,400070,7,79,Country,24.75
Grey,0,96205,6,82,Rock,24.5
Jason Aldean,0,297517,9,79,Country,24.5
Luke Combs,0,297517,9,79,Country,24.5
Shawn Mendes,1,688701,8,93,Rock,24.5
Charlie Puth,1,56540,8,87,Rock,24
Rae Sremmurd,0,56540,7,87,Hip-Hop/Rap,24
Chris Brown,0,56540,7,90,R&B,24
Rich The Kid,0,56540,7,85,R&B,24
Logic,1,56540,7,88,Hip-Hop/Rap,24
NF,1,56540,7,81,Hip-Hop/Rap,24
MercyMe,1,44349,10,65,Rock,23.5
Bazzi,1,60872,6,83,Rock,23.5
Bebe Rexha,1,60872,6,87,Rock,23.5
Dua Lipa,1,60872,6,92,Rock,23.5
Marshmello,1,60872,6,89,Rock,23.5
MercyMe,1,66075,10,65,Rock,23
Luke Combs,0,164676,10,79,Country,23
Savage,1,202824,9,89,Dance/Electronic,23
Godsmack,0,609456,10,71,Rock,23
Shinedown,0,609456,10,76,Rock,23
Godsmack,0,57282,7,71,Rock,22
Shinedown,0,57282,7,76,Rock,22
MercyMe,0,128429,6,65,Rock,22
MercyMe,0,599164,10,65,Rock,22
Godsmack,1,56540,7,71,Rock,21
Shinedown,1,56540,7,76,Rock,21
Shinedown,0,75806,8,76,Rock,21
Lynyrd Skynyrd,0,448479,7,74,Rock,20.5
Bazzi,0,38027,7,83,Pop,20
Bad Wolves,1,38071,6,68,Metal,20
Grey,0,38142,8,82,Rock,20
MercyMe,1,50821,10,65,Rock,20
Bad Wolves,0,52122,6,68,Metal,20
Sam Hunt,0,125017,6,76,Country,20
G-Eazy,1,125017,8,88,Hip-Hop/Rap,20
Darius Rucker,1,125017,7,71,Country,20
Lil Uzi Vert,1,125017,8,89,Hip-Hop/Rap,20
Ty Dolla $ign,1,125017,8,92,Hip-Hop/Rap,20
Dan + Shay,0,125017,6,76,Country,20
Lynyrd Skynyrd,0,144669,8,74,Rock,20
Sam Hunt,1,167405,10,76,Country,20
Bad Wolves,1,202824,6,68,Metal,20
Grey,1,297517,8,82,Rock,20
Famous Dex,1,297517,6,80,Hip-Hop/Rap,20
Rae Sremmurd,1,448479,8,87,Hip-Hop/Rap,20
Shinedown,1,556495,8,76,Rock,20
Bad Wolves,0,609456,6,68,Metal,20
MercyMe,0,843393,10,65,Rock,20
MercyMe,1,1409019,10,65,Rock,20
Foster The People,1,144669,6,77,Rock,19.75
Godsmack,1,1257676,8,71,Rock,19
Shinedown,1,1257676,8,76,Rock,19
Florida Georgia Line,1,2718782,6,85,Country,18.88
Logic,1,125017,6,88,Hip-Hop/Rap,18.75
NF,1,125017,6,81,Hip-Hop/Rap,18.75
Kane Brown,1,144669,6,77,Country,18.75
Lynyrd Skynyrd,0,297517,8,74,Rock,18.75
Kenny Chesney,1,1513367,6,76,Country,18.5
Shinedown,0,125017,8,76,Rock,17.25
YoungBoy Never Broke Again,0,49761,7,82,Hip-Hop/Rap,17
Charlie Puth,0,297517,8,87,Rock,16.5
Chris Brown,0,297517,7,90,R&B,16
Logic,0,297517,6,88,Hip-Hop/Rap,15.25
NF,0,297517,6,81,Hip-Hop/Rap,15.25
Bad Wolves,0,297517,8,68,Rock,15.25
Adele,0,71012,6,83,Undefined,15
Niall Horan,0,297517,7,78,Rock,14
Maren Morris,0,297517,7,82,Rock,14
Luke Combs,0,153703,8,79,Country,12
Bon Jovi,1,226877,6,78,Undefined,12
Godsmack,1,448479,8,71,Rock,12
Shinedown,1,448479,8,76,Rock,12
Drake,1,42774,7,99,Dance/Electronic,10
Chris Brown,0,448479,7,90,R&B,10
Rich The Kid,0,448479,7,85,R&B,10
Sam Smith,1,52122,6,86,Rock,6
Khalid,1,91956,11,94,Undefined,1
Khalid,1,91956,11,94,Undefined,1